episode,scramble,solved,steps,reward,epsilon,solve_rate,avg_steps,avg_reward,total_solves,best_streak,tile_accuracy
980,3,false,25,-5.8333,0.906735,0.0900,22.88,5.3960,62,4,0.0833
990,3,false,25,-3.3333,0.905829,0.0900,22.84,5.3208,64,4,0.1250
1000,3,false,25,-5.8333,0.904923,0.0900,22.84,5.3083,64,4,0.2500
1010,3,false,25,-7.9167,0.904109,0.1000,22.64,6.3002,66,4,0.1250
1020,3,false,25,-7.0833,0.903296,0.0900,22.88,5.4002,66,4,0.1250
1030,3,false,25,-1.6667,0.902213,0.1000,22.64,6.3710,67,4,0.2500
1040,3,false,25,-4.5833,0.901401,0.0700,23.36,3.2710,68,4,0.2083
1050,3,false,25,-2.0833,0.900410,0.0800,23.12,4.4168,69,4,0.2500
1060,3,false,25,-4.1667,0.899510,0.0800,23.12,4.3043,69,4,0.0833
1070,3,false,25,-6.2500,0.898611,0.0800,23.12,4.3377,70,4,0.0417
1080,3,false,25,-2.5000,0.897802,0.0800,23.12,4.2293,70,4,0.1667
1090,3,false,25,-3.3333,0.896815,0.0700,23.38,3.2940,71,4,0.0833
1100,3,false,25,-6.6667,0.896008,0.0800,23.14,4.4482,72,4,0.2500
1110,3,false,25,-1.2500,0.895023,0.0600,23.58,2.5188,72,4,0.2917
1120,3,false,25,-1.6667,0.894218,0.0600,23.58,2.5480,72,4,0.2917
1130,3,false,25,-2.9167,0.893235,0.0600,23.58,2.5647,73,4,0.1667
1140,3,false,25,-4.1667,0.892342,0.0500,23.82,1.4147,73,4,0.2500
1150,3,false,25,-2.9167,0.891450,0.0600,23.58,2.4230,75,4,0.1667
1160,3,true,3,99.8000,0.890648,0.0800,23.12,4.5377,77,4,1.0000
1170,3,false,25,-3.3333,0.889669,0.0900,22.90,5.6190,79,4,0.2917
1180,3,false,25,-6.6667,0.888780,0.0900,22.90,5.5982,79,4,0.2500
1190,3,false,25,-2.5000,0.887891,0.0900,22.94,5.6025,80,4,0.1667
